Category,Role,Prompt Type / Use,Description - Enter the Prompt
Operations,Interior Designer,Interior Design Mockup,"I’d like some help with interior design. Here’s what you should know:

Room Type: [e.g., Living room, Bedroom, Home Office]
Current Style: [e.g., Minimalist, Boho, Mid-century Modern, Open to Any Style]
Desired Style or Vibe: [e.g., Cozy and bright, Minimalist and modern, Earthy and relaxed]
Color Preferences: [e.g., White, beige, sage green, avoid cool tones]
Budget Range: [e.g., Under $500, Moderate, No Limit]
Room Dimensions (Optional): [e.g., 12′ x 15′]
Furniture to Keep: [e.g., Gray sectional sofa, oak dining table]
Constraints: [e.g., Rental apartment, keep wall damage minimal; Hide outlets]
Extras: [e.g., Also looking to expand this decor across space; provide mockup; Need storage ideas or other recommendations]"
Operations,Interior Designer,Design Idea Generator,"Uploads a picture or blueprint of space to AI and enters prompt: This is my office space, provide design suggestions"
HR,Engagement,Survey question assistance,"Write 6–8 employee survey questions designed to measure [e.g. belonging, manager trust, workload balance]. Ensure the questions are neutral and easy to understand. Format them as one question per line with rating scale suggestions."
HR,Engagement,Engagement ideas,"Generate five practical ideas for improving employee engagement across [company/team/region]. Consider our hybrid work model, current engagement scores, and time/resource constraints. Present each idea with a short description, expected impact, and implementation effort level."
HR,Management,Quarterly goals,"Draft clear and measurable quarterly goals for my team. Here is the business context, company objectives, and recent performance: [insert context]. Return 3 Objectives with 3-4 Key Results each, in a simple bullet format."
Finance,Management,Cost Reduction,"Identify cost reduction opportunities from our recent budget report. Use the breakdown from August 2025 cost center or department to evaluate. Provide a table with opportunities, projected savings, and any potential risks."
Finance,Management,Financial Forecast,Forecast Q4 2025 revenue based on the past 9 months of data. Use the trends from our financials to explain your reasoning. Present the forecast in a table and write a short executive summary.
IT,Management,Executive SLA Reporting,"Generate a monthly SLA/KPI performance report for IT services. Include: ticket resolution times, compliance % vs SLA targets, uptime metrics, escalations, and improvement recommendations in executive-summary format."
IT,Management,IT Budgeting & Forecasting,"Prepare an IT budget forecast for the next fiscal year. Break down operating costs, cloud expenses, cybersecurity tools, SaaS licenses, vendor contracts, and expected cost optimizations."
IT,Management,Vendor/Tool Evaluation,"Create a vendor evaluation framework for [software/service]. Include cost, SLA terms, compliance alignment, scalability, integration potential, and security posture. Output as a decision matrix with recommendations."
IT,Management,Compliance & Governance,"Draft a board-level compliance summary for [SOC2 / ISO 27001 / HIPAA]. Highlight achievements, audit gaps, remediation plans, and risk level by category (High/Medium/Low)."
IT,Management,Strategic Planning,"You are an IT executive preparing a quarterly technology strategy brief for the executive team. Summarize key initiatives, risks, cybersecurity priorities, and upcoming IT investments. Present it in an executive-friendly format with bullet points and a short narrative."
