stakeholder,category,country,name,owner,link
New Hires,Pre-employment Requirements,PH,Employee Information Form,HR,https://forms.gle/7RAEPUtUd9qNESeG7
All Employees,Important Tools,All Countries,Quickbooks Timesheets manual (employee user),IT,https://docs.google.com/document/d/1Xg6LR5qFIK_MpAuqbKyutjcyrgmARUJjR6FqNSVWHkM/edit
All Employees,Policies,All Countries,Acceptable Use Policy (AUP),IT,https://docs.google.com/document/d/1TdwZvk-WM7yMfZnO2qf-zYq0M2sX_72L/edit
All Employees,Time Keeping,PH,Payroll Sprout,HR,https://sso.sprout.ph/realms/boldbusiness/protocol/openid-connect/auth?client_id=SproutSSO&redirect_uri=https%3A%2F%2Fboldbusiness.hrhub.ph%2F&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DxyHkJwBNCPVeyLt90QUQ8cestKkk1ZQRrUBbEAb0LATdzs5HF1jrsb1JVq9k29tzVg60mxmyJGpCVUoUURAMgd5JnEeJR59vYxRTEix9JvVnsEBvpS415RbtaFvjoFo4Exsy9nO8SKFidScjalAWgc29Oo0LwMHV5c2QauXgWU1Uk02WMdAMeKyd_wlVBSir17aNCA&response_mode=form_post&nonce=638932224909690080.NzliY2QwOGItZjM4OS00MmIxLWJkZGItYTY3MDRhZjQyNmI1YTlhNDZmOTAtYmJjOS00NGFjLTkxMDItMzA3ZjdjOTAzMDA5&x-client-SKU=ID_NET461&x-client-ver=5.3.0.0
All Employees,HR,All Countries,HR Service Desk (Monday.com),HR,https://wkf.ms/3HK6bac
All Employees,IT,All Countries,IT Service Desk (JIRA),IT,https://boldbusiness.atlassian.net/servicedesk/customer/portals
All Employees,General,All Countries,BB Email Signature,HR,https://docs.google.com/document/d/1u2rorITdyDUWW0OcN4hB_Kijjhbpx-b9b22it61beVI/edit
Leaders,Supervisor Tool kit,All Countries,Coaching Log form,HR,https://docs.google.com/document/d/1TvySizTdxWsCM0XO7t3TSrrAVrX6zNU03dONEufnQvY/edit?usp=sharing
All Employees,Employee Perks / Benefits,PH,Laptop Reselling Program,,https://forms.gle/9aFhtmwgGwadbchy6
New Hires,Pre-employment Requirements,US,I-9 Employment Eligibility Verification,HR,https://forms.gle/example1
New Hires,Pre-employment Requirements,US,W-4 Tax Withholding Form,HR,https://forms.gle/example2
All Employees,Policies,All Countries,Code of Conduct,HR,https://docs.google.com/document/d/example3
All Employees,Policies,All Countries,Remote Work Policy,HR,https://docs.google.com/document/d/example4
All Employees,Policies,All Countries,Data Privacy Policy,IT,https://docs.google.com/document/d/example5
All Employees,Important Tools,All Countries,Microsoft 365 User Guide,IT,https://docs.google.com/document/d/example6
All Employees,Important Tools,All Countries,Slack Communication Guidelines,IT,https://docs.google.com/document/d/example7
All Employees,Important Tools,All Countries,VPN Setup Guide,IT,https://docs.google.com/document/d/example8
All Employees,Time Keeping,US,ADP Payroll System,HR,https://adp.com/example
All Employees,Time Keeping,CA,Ceridian Dayforce,HR,https://ceridian.com/example
All Employees,HR,All Countries,Employee Handbook,HR,https://docs.google.com/document/d/example9
All Employees,HR,All Countries,Benefits Enrollment Guide,HR,https://docs.google.com/document/d/example10
All Employees,HR,PH,HMO Enrollment Form,HR,https://forms.gle/example11
All Employees,HR,US,Health Insurance Guide,HR,https://docs.google.com/document/d/example12
All Employees,IT,All Countries,Password Policy,IT,https://docs.google.com/document/d/example13
All Employees,IT,All Countries,Software Request Form,IT,https://forms.gle/example14
All Employees,IT,All Countries,Hardware Request Form,IT,https://forms.gle/example15
Leaders,Supervisor Tool kit,All Countries,Performance Review Template,HR,https://docs.google.com/document/d/example16
Leaders,Supervisor Tool kit,All Countries,PIP (Performance Improvement Plan) Template,HR,https://docs.google.com/document/d/example17
Leaders,Supervisor Tool kit,All Countries,Team Meeting Template,HR,https://docs.google.com/document/d/example18
All Employees,Training,All Countries,Cybersecurity Awareness Training,IT,https://training.example.com/cybersecurity
All Employees,Training,All Countries,Diversity & Inclusion Training,HR,https://training.example.com/diversity
All Employees,Training,All Countries,AI Tools Training,IT,https://training.example.com/ai-tools
All Employees,General,All Countries,Company Directory,HR,https://docs.google.com/document/d/example19
All Employees,General,All Countries,Office Locations & Contacts,HR,https://docs.google.com/document/d/example20
All Employees,Employee Perks / Benefits,All Countries,Employee Referral Program,HR,https://forms.gle/example21
All Employees,Employee Perks / Benefits,US,401k Enrollment Guide,HR,https://docs.google.com/document/d/example22
All Employees,Employee Perks / Benefits,CA,RRSP Information,HR,https://docs.google.com/document/d/example23
All Employees,Employee Perks / Benefits,PH,SSS Benefits Guide,HR,https://docs.google.com/document/d/example24
